"Alvon","M","1989","3","162"
"Alwyn","M","1989","4","161"
"Aly","M","1989","4","161"
"Alyn","M","1989","3","162"
"Alyssa","M","1989","26","139"
"Alyx","M","1989","1","164"
"Amad","M","1989","9","156"
"Amadeo","M","1989","16","149"
"Amadeus","M","1989","6","159"
"Amado","M","1989","32","133"
"Amador","M","1989","29","136"
"Amal","M","1989","5","160"
"Amalio","M","1989","1","164"
"Aman","M","1989","10","155"
"Amanda","M","1989","85","80"
"Amandeep","M","1989","2","163"
"Amando","M","1989","10","155"
"Amani","M","1989","4","161"
"Amar","M","1989","33","132"
"Amari","M","1989","3","162"
"Amario","M","1989","6","159"
"Amauris","M","1989","3","162"
"Amaury","M","1989","13","152"
"Amber","M","1989","54","111"
"Ambrose","M","1989","30","135"
"Ambrosio","M","1989","2","163"
"Amdrew","M","1989","7","158"
"Ameen","M","1989","10","155"
"Ameer","M","1989","40","125"
"Amelia","M","1989","4","161"
"Amelio","M","1989","5","160"
"Amer","M","1989","18","147"
"Americo","M","1989","10","155"
"Amery","M","1989","1","164"
"Ames","M","1989","12","153"
"Amiel","M","1989","4","161"
"Amil","M","1989","4","161"
"Amilcar","M","1989","18","147"
"Amilio","M","1989","2","163"
"Amin","M","1989","42","123"
"Amine","M","1989","1","164"
"Amir","M","1989","108","57"
"Amiri","M","1989","1","164"
"Amish","M","1989","1","164"
"Amit","M","1989","56","109"
"Amjad","M","1989","5","160"
"Ammar","M","1989","31","134"
"Ammon","M","1989","41","124"
"Amol","M","1989","1","164"
"Amon","M","1989","16","149"
"Amond","M","1989","1","164"
"Amos","M","1989","94","71"
"Amr","M","1989","1","164"
"Amrit","M","1989","6","159"
"Amro","M","1989","1","164"
"Amuel","M","1989","1","164"
"Amy","M","1989","23","142"
"An","M","1989","17","148"
"Ana","M","1989","25","140"
"Anabel","M","1989","6","159"
"Anand","M","1989","29","136"
"Ananias","M","1989","3","162"
"Anas","M","1989","17","148"
"Anastacio","M","1989","24","141"
"Anastasia","M","1989","2","163"
"Anastasios","M","1989","11","154"
"Anders","M","1989","58","107"
"Anderson","M","1989","78","87"
"Anderw","M","1989","1","164"
"Andon","M","1989","2","163"
"Andra","M","1989","34","131"
"Andrade","M","1989","1","164"
"Andrae","M","1989","33","132"
"Andray","M","1989","3","162"
"Andre","M","1989","152","13"
"Andrea","M","1989","84","81"
"Andreas","M","1989","86","79"
"Andree","M","1989","10","155"
"Andrei","M","1989","27","138"
"Andreina","M","1989","2","163"
"Andrell","M","1989","5","160"
"Andren","M","1989","1","164"
"Andres","M","1989","146","19"
"Andreu","M","1989","4","161"
"Andreus","M","1989","5","160"
"Andrew","M","1989","164","1"
"Andrewjames","M","1989","1","164"
"Andrews","M","1989","18","147"
"Andrey","M","1989","6","159"
"Andrez","M","1989","11","154"
"Andrian","M","1989","7","158"
"Andrius","M","1989","1","164"
"Andron","M","1989","1","164"
"Andru","M","1989","9","156"
"Andrue","M","1989","8","157"
"Andrw","M","1989","3","162"
"Andry","M","1989","2","163"
"Andrzej","M","1989","7","158"
"Andy","M","1989","141","24"
"Aneesh","M","1989","6","159"
"Anel","M","1989","2","163"
"Angad","M","1989","3","162"
"Angel","M","1989","151","14"
"Angela","M","1989","48","117"
"Angelica","M","1989","22","143"
"Angelina","M","1989","5","160"
"Angelino","M","1989","4","161"
"Angelito","M","1989","1","164"
"Angello","M","1989","2","163"
"Angelo","M","1989","137","28"
"Angie","M","1989","3","162"
"Angle","M","1989","2","163"
"Angus","M","1989","41","124"
